Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create a Driver,1,2001,2001,2001,2001,2001,2001,2001,0.000%,.49975,0.27,0.27
Create a Car for Driver,1,84,84,84,84,84,84,84,0.000%,11.90476,5.03,4.67
Create a Passenger,1,434,434,434,434,434,434,434,0.000%,2.30415,1.05,1.09
Create a Ride,10,19,14,21,21,75,6,75,0.000%,.00915,0.01,0.00
Update a Ride with Driver and Car,10,22,11,42,42,91,6,91,0.000%,.00915,0.00,0.00
Add a Route Point,120,75,18,27,31,42,9,6814,0.000%,.09968,0.03,0.03
Delete a RoutePoint,120,11,11,16,18,26,6,32,0.000%,.09968,0.02,0.02
Mark a Ride Complete,10,9,9,12,12,16,5,16,0.000%,.00915,0.00,0.00
Delete a Ride,10,9,6,10,10,42,3,42,0.000%,.00915,0.00,0.00
Delete a Passenger,1,10,10,10,10,10,10,10,0.000%,100.00000,21.00,22.27
Delete a Driver,1,4,4,4,4,4,4,4,0.000%,250.00000,42.48,54.93
Delete a Car,1,2,2,2,2,2,2,2,0.000%,500.00000,102.05,108.40
TOTAL,286,47,13,25,31,91,2,6814,0.000%,.23508,0.06,0.06
